event_id,session_id,step_id,document_id,current_chunk_id,target_chunk_id,query_type
48,train:2wiki:15,2,2wiki:15,45,47,structural
49,train:2wiki:6,0,2wiki:6,6,8,structural
50,train:2wiki:88,0,2wiki:88,381,389,multi-hop
51,train:2wiki:130,1,2wiki:130,565,567,multi-hop
52,train:2wiki:135,1,2wiki:135,579,587,multi-hop
53,train:2wiki:9,2,2wiki:9,22,23,structural
54,train:2wiki:145,1,2wiki:145,640,642,structural
55,train:2wiki:144,0,2wiki:144,626,628,multi-hop
56,train:2wiki:78,1,2wiki:78,311,314,semantic
57,train:2wiki:54,0,2wiki:54,172,175,structural
58,train:2wiki:59,1,2wiki:59,215,223,multi-hop
59,train:2wiki:78,2,2wiki:78,314,316,multi-hop
60,train:2wiki:55,0,2wiki:55,179,181,structural
61,train:2wiki:116,1,2wiki:116,505,507,multi-hop
62,train:2wiki:130,2,2wiki:130,561,562,structural
63,train:2wiki:24,0,2wiki:24,84,87,multi-hop
64,train:2wiki:168,2,2wiki:168,760,763,structural
65,train:2wiki:9,3,2wiki:9,19,22,semantic
66,train:2wiki:187,0,2wiki:187,866,869,multi-hop
67,train:2wiki:150,0,2wiki:150,657,663,multi-hop
68,train:2wiki:80,0,2wiki:80,329,334,multi-hop
69,train:2wiki:78,3,2wiki:78,313,315,multi-hop
70,train:2wiki:104,1,2wiki:104,437,439,multi-hop
71,train:2wiki:182,0,2wiki:182,844,847,structural
72,train:2wiki:85,0,2wiki:85,363,365,structural
73,train:2wiki:54,1,2wiki:54,172,174,multi-hop
74,train:2wiki:184,1,2wiki:184,857,859,structural
75,train:2wiki:150,1,2wiki:150,659,662,structural
76,train:2wiki:144,1,2wiki:144,627,628,structural
77,train:2wiki:29,0,2wiki:29,103,110,semantic
78,train:2wiki:130,3,2wiki:130,566,563,semantic
79,train:2wiki:193,0,2wiki:193,899,901,multi-hop
80,train:2wiki:9,4,2wiki:9,19,22,semantic
81,train:2wiki:105,2,2wiki:105,450,451,structural
82,train:2wiki:148,1,2wiki:148,648,653,multi-hop
83,train:2wiki:88,1,2wiki:88,381,383,multi-hop
84,train:2wiki:74,0,2wiki:74,283,287,multi-hop
85,train:2wiki:109,0,2wiki:109,474,475,structural
86,train:2wiki:150,2,2wiki:150,661,664,structural
87,train:2wiki:164,0,2wiki:164,731,734,structural
88,train:2wiki:164,1,2wiki:164,735,731,semantic
89,train:2wiki:116,2,2wiki:116,505,502,semantic
90,train:2wiki:62,2,2wiki:62,235,237,multi-hop
91,train:2wiki:86,0,2wiki:86,374,378,semantic
92,train:2wiki:158,2,2wiki:158,697,699,multi-hop
93,train:2wiki:116,3,2wiki:116,506,508,structural
94,train:2wiki:176,1,2wiki:176,805,808,structural
95,train:2wiki:82,1,2wiki:82,347,350,semantic
96,train:2wiki:75,1,2wiki:75,290,299,semantic
97,train:2wiki:85,1,2wiki:85,367,364,multi-hop
98,train:2wiki:164,2,2wiki:164,731,734,multi-hop
99,train:2wiki:168,3,2wiki:168,764,766,multi-hop
100,train:2wiki:194,1,2wiki:194,909,915,semantic
101,train:2wiki:187,1,2wiki:187,867,869,multi-hop
102,train:2wiki:62,3,2wiki:62,234,236,multi-hop
103,train:2wiki:165,0,2wiki:165,744,747,multi-hop
104,train:2wiki:80,1,2wiki:80,328,330,multi-hop
105,train:2wiki:187,2,2wiki:187,862,864,multi-hop
106,train:2wiki:24,1,2wiki:24,88,90,multi-hop
107,train:2wiki:143,1,2wiki:143,617,620,semantic
108,train:2wiki:47,0,2wiki:47,153,150,semantic
109,train:2wiki:10,1,2wiki:10,31,33,multi-hop
110,train:2wiki:187,3,2wiki:187,862,869,semantic
111,train:2wiki:106,0,2wiki:106,458,460,multi-hop
112,train:2wiki:88,2,2wiki:88,383,386,semantic
113,train:2wiki:67,0,2wiki:67,256,252,semantic
114,train:2wiki:79,1,2wiki:79,322,324,structural
115,train:2wiki:65,0,2wiki:65,244,250,multi-hop
116,train:2wiki:145,2,2wiki:145,640,641,structural
117,train:2wiki:47,1,2wiki:47,151,154,multi-hop
118,train:2wiki:24,2,2wiki:24,87,89,multi-hop
119,train:2wiki:105,3,2wiki:105,446,447,structural
120,train:2wiki:173,2,2wiki:173,781,778,semantic
121,train:2wiki:67,1,2wiki:67,257,259,multi-hop
122,train:2wiki:184,2,2wiki:184,857,854,semantic
123,train:2wiki:193,1,2wiki:193,904,901,semantic
124,train:2wiki:47,2,2wiki:47,151,154,multi-hop
125,train:2wiki:116,4,2wiki:116,505,502,multi-hop
126,train:2wiki:187,4,2wiki:187,866,869,multi-hop
127,train:2wiki:75,2,2wiki:75,295,299,semantic
128,train:2wiki:141,0,2wiki:141,611,608,semantic
129,train:2wiki:62,4,2wiki:62,234,237,multi-hop
130,train:2wiki:29,1,2wiki:29,104,111,semantic
131,train:2wiki:166,4,2wiki:166,755,758,multi-hop
132,train:2wiki:62,5,2wiki:62,235,237,structural
133,train:2wiki:154,1,2wiki:154,685,688,structural
134,train:2wiki:99,0,2wiki:99,411,416,multi-hop
135,train:2wiki:101,0,2wiki:101,429,432,semantic
136,train:2wiki:116,5,2wiki:116,503,506,structural
137,train:2wiki:62,6,2wiki:62,238,239,structural
138,train:2wiki:184,3,2wiki:184,854,857,multi-hop
139,train:2wiki:80,2,2wiki:80,329,331,multi-hop
140,train:2wiki:59,2,2wiki:59,217,222,semantic
141,train:2wiki:47,3,2wiki:47,151,153,multi-hop
142,train:2wiki:105,4,2wiki:105,447,450,structural
143,train:2wiki:99,1,2wiki:99,408,415,semantic
144,train:2wiki:136,0,2wiki:136,590,596,semantic
145,train:2wiki:126,1,2wiki:126,555,556,structural
146,train:2wiki:82,2,2wiki:82,348,345,semantic
147,train:2wiki:116,6,2wiki:116,505,507,multi-hop
148,train:2wiki:106,1,2wiki:106,457,459,multi-hop
149,train:2wiki:79,2,2wiki:79,322,326,multi-hop
150,train:2wiki:143,2,2wiki:143,618,622,multi-hop
151,train:2wiki:6,1,2wiki:6,5,2,multi-hop
152,train:2wiki:100,2,2wiki:100,418,422,semantic
153,train:2wiki:78,4,2wiki:78,310,311,structural
154,train:2wiki:70,1,2wiki:70,267,269,multi-hop
155,train:2wiki:178,2,2wiki:178,816,818,multi-hop
156,train:2wiki:141,1,2wiki:141,608,611,structural
157,train:2wiki:126,2,2wiki:126,556,559,structural
158,train:2wiki:10,2,2wiki:10,32,33,structural
159,train:2wiki:74,1,2wiki:74,286,289,multi-hop
160,train:2wiki:67,2,2wiki:67,255,252,multi-hop
161,train:2wiki:55,1,2wiki:55,180,177,semantic
162,train:2wiki:55,2,2wiki:55,180,182,multi-hop
163,train:2wiki:144,2,2wiki:144,628,630,multi-hop
164,train:2wiki:105,5,2wiki:105,448,444,multi-hop
165,train:2wiki:101,1,2wiki:101,429,432,multi-hop
166,train:2wiki:74,2,2wiki:74,283,285,structural
167,train:2wiki:168,4,2wiki:168,760,762,structural
168,train:2wiki:165,1,2wiki:165,742,745,structural
169,train:2wiki:29,2,2wiki:29,108,111,structural
170,train:2wiki:29,3,2wiki:29,106,108,multi-hop
171,train:2wiki:116,7,2wiki:116,501,506,multi-hop
172,train:2wiki:130,4,2wiki:130,566,567,structural
173,train:2wiki:6,2,2wiki:6,2,7,multi-hop
174,train:2wiki:74,3,2wiki:74,285,287,structural
175,train:2wiki:135,2,2wiki:135,581,583,multi-hop
176,train:2wiki:70,2,2wiki:70,265,268,structural
177,train:2wiki:130,5,2wiki:130,561,564,multi-hop
178,train:2wiki:75,3,2wiki:75,296,299,multi-hop
179,train:2wiki:182,1,2wiki:182,848,851,structural
180,train:2wiki:101,2,2wiki:101,431,434,multi-hop
181,train:2wiki:130,6,2wiki:130,566,569,structural
182,train:2wiki:106,2,2wiki:106,455,457,multi-hop
183,train:2wiki:83,2,2wiki:83,358,361,semantic
184,train:2wiki:47,4,2wiki:47,152,154,multi-hop
185,train:2wiki:130,7,2wiki:130,563,566,semantic
186,train:2wiki:101,3,2wiki:101,429,432,semantic
187,train:2wiki:165,2,2wiki:165,744,747,semantic
188,train:2wiki:141,2,2wiki:141,611,612,structural
189,train:2wiki:86,1,2wiki:86,373,376,semantic
190,train:2wiki:85,2,2wiki:85,364,369,multi-hop
191,train:2wiki:109,1,2wiki:109,473,475,multi-hop
192,train:2wiki:65,1,2wiki:65,244,250,semantic
193,train:2wiki:104,2,2wiki:104,438,441,structural
194,train:2wiki:88,3,2wiki:88,382,384,multi-hop
195,train:2wiki:83,3,2wiki:83,359,361,structural
196,train:2wiki:100,3,2wiki:100,417,419,multi-hop
197,train:2wiki:57,2,2wiki:57,198,201,structural
198,train:2wiki:106,3,2wiki:106,454,458,semantic
199,train:2wiki:174,1,2wiki:174,792,794,multi-hop
200,train:2wiki:154,2,2wiki:154,687,683,semantic
201,train:2wiki:173,3,2wiki:173,782,784,multi-hop
202,train:2wiki:104,3,2wiki:104,435,437,structural
203,train:2wiki:126,3,2wiki:126,553,555,multi-hop
204,train:2wiki:182,2,2wiki:182,848,850,multi-hop
205,train:2wiki:144,3,2wiki:144,626,632,semantic
206,train:2wiki:109,2,2wiki:109,473,475,structural
207,train:2wiki:74,4,2wiki:74,284,288,multi-hop
208,train:2wiki:141,3,2wiki:141,609,611,multi-hop
209,train:2wiki:99,2,2wiki:99,413,416,semantic
210,train:2wiki:182,3,2wiki:182,848,845,multi-hop
211,train:2wiki:54,2,2wiki:54,167,169,multi-hop
212,train:2wiki:104,4,2wiki:104,437,440,multi-hop
213,train:2wiki:187,5,2wiki:187,867,869,structural
214,train:2wiki:24,3,2wiki:24,84,87,multi-hop
215,train:2wiki:100,4,2wiki:100,420,417,semantic
216,train:2wiki:91,1,2wiki:91,391,392,structural
217,train:2wiki:148,2,2wiki:148,648,653,multi-hop
218,train:2wiki:91,2,2wiki:91,391,394,semantic
219,train:2wiki:126,4,2wiki:126,554,557,multi-hop
220,train:2wiki:135,3,2wiki:135,583,585,structural
221,train:2wiki:187,6,2wiki:187,861,865,multi-hop
222,train:2wiki:54,3,2wiki:54,172,168,semantic
223,train:2wiki:55,3,2wiki:55,176,178,multi-hop
224,train:2wiki:174,2,2wiki:174,790,787,multi-hop
225,train:2wiki:100,5,2wiki:100,417,419,multi-hop
226,train:2wiki:143,3,2wiki:143,622,623,structural
227,train:2wiki:91,3,2wiki:91,392,393,structural
228,train:2wiki:176,2,2wiki:176,807,808,structural
229,train:2wiki:148,3,2wiki:148,646,652,multi-hop
230,train:2wiki:6,3,2wiki:6,5,2,multi-hop
231,train:2wiki:80,3,2wiki:80,329,334,multi-hop
232,train:2wiki:83,4,2wiki:83,359,361,multi-hop
233,train:2wiki:141,4,2wiki:141,612,614,multi-hop
234,train:2wiki:105,6,2wiki:105,445,448,multi-hop
235,train:2wiki:106,4,2wiki:106,457,459,multi-hop
236,train:2wiki:47,5,2wiki:47,150,152,multi-hop
237,train:2wiki:100,6,2wiki:100,422,418,semantic
238,train:2wiki:182,4,2wiki:182,846,843,semantic
239,train:2wiki:88,4,2wiki:88,386,389,semantic
240,train:2wiki:59,3,2wiki:59,220,223,semantic
241,train:2wiki:22,1,2wiki:22,65,67,multi-hop
242,train:2wiki:106,5,2wiki:106,455,458,semantic
243,train:2wiki:29,4,2wiki:29,105,107,multi-hop
244,train:2wiki:104,5,2wiki:104,438,439,structural
245,train:2wiki:106,6,2wiki:106,455,456,structural
246,train:2wiki:57,3,2wiki:57,196,204,semantic
247,train:2wiki:144,4,2wiki:144,629,632,structural
248,train:2wiki:47,6,2wiki:47,153,155,multi-hop
249,train:2wiki:54,4,2wiki:54,169,171,structural
250,train:2wiki:80,4,2wiki:80,331,333,multi-hop
251,train:2wiki:136,1,2wiki:136,593,594,structural
252,train:2wiki:109,3,2wiki:109,471,476,multi-hop
253,train:2wiki:136,2,2wiki:136,589,596,multi-hop
254,train:2wiki:136,3,2wiki:136,593,595,structural
255,train:2wiki:91,4,2wiki:91,394,396,multi-hop
256,train:2wiki:154,3,2wiki:154,685,687,structural
257,train:2wiki:6,4,2wiki:6,3,5,multi-hop
258,train:2wiki:54,5,2wiki:54,171,172,structural
259,train:2wiki:78,5,2wiki:78,313,309,multi-hop
260,train:2wiki:150,3,2wiki:150,659,662,semantic
261,train:2wiki:154,4,2wiki:154,687,690,structural
262,train:2wiki:141,5,2wiki:141,610,613,semantic
263,train:2wiki:176,3,2wiki:176,807,809,multi-hop
264,train:2wiki:136,4,2wiki:136,590,592,structural
265,train:2wiki:59,4,2wiki:59,216,221,multi-hop
266,train:2wiki:166,5,2wiki:166,756,750,semantic
267,train:2wiki:22,2,2wiki:22,65,68,structural
268,train:2wiki:164,3,2wiki:164,731,734,semantic
269,train:2wiki:82,3,2wiki:82,347,349,multi-hop
270,train:2wiki:105,7,2wiki:105,445,448,semantic
271,train:2wiki:22,3,2wiki:22,65,67,multi-hop
272,train:2wiki:150,4,2wiki:150,661,664,multi-hop
273,train:2wiki:91,5,2wiki:91,395,390,multi-hop
274,train:2wiki:109,4,2wiki:109,471,473,multi-hop
275,train:2wiki:194,2,2wiki:194,914,916,structural
276,train:2wiki:29,5,2wiki:29,103,110,semantic
277,train:2wiki:82,4,2wiki:82,350,345,multi-hop
278,train:2wiki:145,3,2wiki:145,642,644,multi-hop
279,train:2wiki:54,6,2wiki:54,172,174,structural
280,train:2wiki:24,4,2wiki:24,85,88,semantic
281,train:2wiki:168,5,2wiki:168,762,767,semantic
282,train:2wiki:141,6,2wiki:141,611,613,multi-hop
283,train:2wiki:116,8,2wiki:116,501,506,multi-hop
284,train:2wiki:86,2,2wiki:86,376,372,multi-hop
285,train:2wiki:86,3,2wiki:86,374,377,structural
286,train:2wiki:91,6,2wiki:91,392,395,semantic
287,train:2wiki:164,4,2wiki:164,735,737,multi-hop
288,train:2wiki:116,9,2wiki:116,503,504,structural
289,train:2wiki:178,3,2wiki:178,821,815,semantic
290,train:2wiki:57,4,2wiki:57,199,201,structural
291,train:2wiki:104,6,2wiki:104,437,439,structural
292,train:2wiki:143,4,2wiki:143,618,619,structural
293,train:2wiki:174,3,2wiki:174,789,794,multi-hop
294,train:2wiki:15,3,2wiki:15,44,50,semantic
295,train:2wiki:54,7,2wiki:54,171,168,multi-hop
296,train:2wiki:24,5,2wiki:24,84,87,semantic
297,train:2wiki:187,7,2wiki:187,863,865,multi-hop
298,train:2wiki:67,3,2wiki:67,252,257,semantic
299,train:2wiki:193,2,2wiki:193,902,904,multi-hop
300,train:2wiki:78,6,2wiki:78,311,314,multi-hop
301,train:2wiki:145,4,2wiki:145,640,642,multi-hop
302,train:2wiki:9,5,2wiki:9,21,22,structural
303,train:2wiki:165,3,2wiki:165,740,743,multi-hop
304,train:2wiki:168,6,2wiki:168,761,764,multi-hop
305,train:2wiki:143,5,2wiki:143,621,625,multi-hop
306,train:2wiki:144,5,2wiki:144,627,629,multi-hop
307,train:2wiki:47,7,2wiki:47,153,150,semantic
308,train:2wiki:55,4,2wiki:55,179,183,semantic
309,train:2wiki:173,4,2wiki:173,782,778,semantic
310,train:2wiki:136,5,2wiki:136,594,596,multi-hop
311,train:2wiki:194,3,2wiki:194,910,915,multi-hop
312,train:2wiki:100,7,2wiki:100,418,422,semantic
313,train:2wiki:67,4,2wiki:67,254,255,structural
314,train:2wiki:166,6,2wiki:166,752,754,multi-hop
315,train:2wiki:193,3,2wiki:193,903,906,structural
316,train:2wiki:83,5,2wiki:83,354,356,structural
317,train:2wiki:193,4,2wiki:193,900,902,multi-hop
318,train:2wiki:182,5,2wiki:182,846,847,structural
319,train:2wiki:158,3,2wiki:158,692,698,multi-hop
320,train:2wiki:59,5,2wiki:59,215,216,structural
321,train:2wiki:144,6,2wiki:144,628,630,multi-hop
322,train:2wiki:85,3,2wiki:85,364,369,semantic
323,train:2wiki:150,5,2wiki:150,656,658,multi-hop
324,train:2wiki:67,5,2wiki:67,254,255,structural
325,train:2wiki:106,7,2wiki:106,458,460,structural
326,train:2wiki:75,4,2wiki:75,292,299,semantic
327,train:2wiki:24,6,2wiki:24,85,88,structural
328,train:2wiki:6,5,2wiki:6,6,7,structural
329,train:2wiki:136,6,2wiki:136,594,597,structural
330,train:2wiki:65,2,2wiki:65,242,245,semantic
331,train:2wiki:158,4,2wiki:158,697,699,multi-hop
332,train:2wiki:86,4,2wiki:86,372,375,semantic
333,train:2wiki:47,8,2wiki:47,151,153,structural
334,train:2wiki:57,5,2wiki:57,198,201,multi-hop
335,train:2wiki:55,5,2wiki:55,176,179,multi-hop
336,train:2wiki:176,4,2wiki:176,805,813,semantic
337,train:2wiki:104,7,2wiki:104,439,436,semantic
338,train:2wiki:62,7,2wiki:62,237,233,multi-hop
339,train:2wiki:6,6,2wiki:6,3,7,semantic
340,train:2wiki:176,5,2wiki:176,808,811,semantic
341,train:2wiki:178,4,2wiki:178,815,816,structural
342,train:2wiki:82,5,2wiki:82,347,348,structural
343,train:2wiki:158,5,2wiki:158,694,699,multi-hop
344,train:2wiki:15,4,2wiki:15,44,50,multi-hop
345,train:2wiki:85,4,2wiki:85,366,368,multi-hop
346,train:2wiki:10,3,2wiki:10,32,36,semantic
347,train:2wiki:194,4,2wiki:194,914,916,multi-hop
348,train:2wiki:82,6,2wiki:82,348,345,multi-hop
349,train:2wiki:165,4,2wiki:165,743,745,multi-hop
350,train:2wiki:83,6,2wiki:83,358,361,semantic
351,train:2wiki:54,8,2wiki:54,169,174,semantic
352,train:2wiki:55,6,2wiki:55,181,183,multi-hop
353,train:2wiki:70,3,2wiki:70,265,267,multi-hop
354,train:2wiki:10,4,2wiki:10,29,31,multi-hop
355,train:2wiki:106,8,2wiki:106,454,458,multi-hop
356,train:2wiki:9,6,2wiki:9,19,21,structural
357,train:2wiki:70,4,2wiki:70,265,269,semantic
358,train:2wiki:141,7,2wiki:141,609,611,multi-hop
359,train:2wiki:187,8,2wiki:187,864,861,multi-hop
360,train:2wiki:150,6,2wiki:150,659,661,structural
361,train:2wiki:178,5,2wiki:178,821,824,structural
362,train:2wiki:65,3,2wiki:65,248,250,multi-hop
363,train:2wiki:109,5,2wiki:109,475,477,multi-hop
364,train:2wiki:135,4,2wiki:135,580,583,semantic
365,train:2wiki:166,7,2wiki:166,756,758,structural
366,train:2wiki:59,6,2wiki:59,217,222,multi-hop
367,train:2wiki:29,6,2wiki:29,105,107,structural
368,train:2wiki:80,5,2wiki:80,330,332,multi-hop
369,train:2wiki:154,5,2wiki:154,688,690,multi-hop
370,train:2wiki:99,3,2wiki:99,410,412,multi-hop
371,train:2wiki:85,5,2wiki:85,364,369,multi-hop
372,train:2wiki:85,6,2wiki:85,363,365,multi-hop
373,train:2wiki:182,6,2wiki:182,848,845,semantic
374,train:2wiki:67,6,2wiki:67,253,258,multi-hop
375,train:2wiki:174,4,2wiki:174,791,788,semantic
376,train:2wiki:106,9,2wiki:106,457,459,structural
377,train:2wiki:88,5,2wiki:88,382,389,multi-hop
378,train:2wiki:80,6,2wiki:80,332,335,structural
379,train:2wiki:83,7,2wiki:83,355,361,semantic
380,train:2wiki:176,6,2wiki:176,809,812,multi-hop
381,train:2wiki:75,5,2wiki:75,296,299,multi-hop
382,train:2wiki:150,7,2wiki:150,656,658,multi-hop
383,train:2wiki:70,5,2wiki:70,261,264,structural
384,train:2wiki:78,7,2wiki:78,314,316,multi-hop
385,train:2wiki:75,6,2wiki:75,294,296,multi-hop
386,train:2wiki:145,5,2wiki:145,642,638,multi-hop
387,train:2wiki:143,6,2wiki:143,621,622,structural
388,train:2wiki:105,8,2wiki:105,444,448,semantic
389,train:2wiki:135,5,2wiki:135,581,587,semantic
390,train:2wiki:79,3,2wiki:79,322,323,structural
391,train:2wiki:86,5,2wiki:86,377,374,semantic
392,train:2wiki:158,6,2wiki:158,693,695,multi-hop
393,train:2wiki:79,4,2wiki:79,320,326,semantic
394,train:2wiki:145,6,2wiki:145,639,643,multi-hop
395,train:2wiki:173,5,2wiki:173,777,779,multi-hop
396,train:2wiki:178,6,2wiki:178,821,824,structural
397,train:2wiki:79,5,2wiki:79,323,326,multi-hop
398,train:2wiki:101,4,2wiki:101,428,430,multi-hop
399,train:2wiki:166,8,2wiki:166,754,755,structural
400,train:2wiki:9,7,2wiki:9,21,24,structural
401,train:2wiki:165,5,2wiki:165,741,743,structural
402,train:2wiki:135,6,2wiki:135,580,583,multi-hop
403,train:2wiki:79,6,2wiki:79,321,326,multi-hop
404,train:2wiki:55,7,2wiki:55,181,183,multi-hop
405,train:2wiki:126,5,2wiki:126,556,553,multi-hop
406,train:2wiki:24,7,2wiki:24,89,91,multi-hop
407,train:2wiki:15,5,2wiki:15,48,44,semantic
408,train:2wiki:91,7,2wiki:91,390,393,semantic
409,train:2wiki:70,6,2wiki:70,261,263,structural
410,train:2wiki:168,7,2wiki:168,764,766,multi-hop
411,train:2wiki:174,5,2wiki:174,788,790,structural
412,train:2wiki:144,7,2wiki:144,631,626,multi-hop
413,train:2wiki:193,5,2wiki:193,904,906,multi-hop
414,train:2wiki:145,7,2wiki:145,642,644,structural
415,train:2wiki:150,8,2wiki:150,656,662,semantic
416,train:2wiki:158,7,2wiki:158,694,696,multi-hop
417,train:2wiki:109,6,2wiki:109,476,479,structural
418,train:2wiki:67,7,2wiki:67,253,255,multi-hop
419,train:2wiki:173,6,2wiki:173,782,785,structural
420,train:2wiki:154,6,2wiki:154,684,691,multi-hop
421,train:2wiki:47,9,2wiki:47,149,152,multi-hop
422,train:2wiki:99,4,2wiki:99,408,410,structural
423,train:2wiki:65,4,2wiki:65,245,242,multi-hop
424,train:2wiki:126,6,2wiki:126,554,555,structural
425,train:2wiki:154,7,2wiki:154,686,689,structural
426,train:2wiki:164,5,2wiki:164,731,734,multi-hop
427,train:2wiki:88,6,2wiki:88,383,384,structural
428,train:2wiki:91,8,2wiki:91,390,393,semantic
429,train:2wiki:57,6,2wiki:57,199,203,semantic
430,train:2wiki:194,5,2wiki:194,911,914,structural
431,train:2wiki:82,7,2wiki:82,348,345,semantic
432,train:2wiki:6,7,2wiki:6,6,7,structural
433,train:2wiki:174,6,2wiki:174,789,791,multi-hop
434,train:2wiki:143,7,2wiki:143,617,619,structural
435,train:2wiki:99,5,2wiki:99,410,412,multi-hop
436,train:2wiki:126,7,2wiki:126,554,556,multi-hop
437,train:2wiki:141,8,2wiki:141,613,610,multi-hop
438,train:2wiki:29,7,2wiki:29,104,111,semantic
439,train:2wiki:104,8,2wiki:104,440,437,semantic
440,train:2wiki:10,5,2wiki:10,29,35,multi-hop
441,train:2wiki:178,7,2wiki:178,815,821,multi-hop
442,train:2wiki:99,6,2wiki:99,413,416,semantic
443,train:2wiki:85,7,2wiki:85,366,368,structural
444,train:2wiki:184,4,2wiki:184,854,856,multi-hop
445,train:2wiki:165,6,2wiki:165,742,743,structural
446,train:2wiki:88,7,2wiki:88,382,389,multi-hop
447,train:2wiki:67,8,2wiki:67,255,252,semantic
448,train:2wiki:15,6,2wiki:15,46,49,semantic
449,train:2wiki:82,8,2wiki:82,350,345,semantic
450,train:2wiki:136,7,2wiki:136,592,596,multi-hop
451,train:2wiki:143,8,2wiki:143,617,620,semantic
452,train:2wiki:135,7,2wiki:135,582,579,multi-hop
453,train:2wiki:187,9,2wiki:187,863,865,multi-hop
454,train:2wiki:24,8,2wiki:24,85,88,multi-hop
455,train:2wiki:154,8,2wiki:154,688,690,multi-hop
456,train:2wiki:15,7,2wiki:15,45,50,multi-hop
457,train:2wiki:65,5,2wiki:65,242,245,structural
458,train:2wiki:174,7,2wiki:174,787,790,multi-hop
459,train:2wiki:135,8,2wiki:135,579,587,multi-hop
460,train:2wiki:10,6,2wiki:10,33,35,multi-hop
461,train:2wiki:86,6,2wiki:86,376,372,semantic
462,train:2wiki:182,7,2wiki:182,845,847,multi-hop
463,train:2wiki:59,7,2wiki:59,216,218,multi-hop
464,train:2wiki:101,5,2wiki:101,431,434,structural
465,train:2wiki:6,8,2wiki:6,1,3,multi-hop
466,train:2wiki:130,8,2wiki:130,561,563,multi-hop
467,train:2wiki:176,7,2wiki:176,811,808,multi-hop
468,train:2wiki:164,6,2wiki:164,731,734,semantic
469,train:2wiki:194,6,2wiki:194,912,915,semantic
470,train:2wiki:74,5,2wiki:74,284,287,structural
471,train:2wiki:136,8,2wiki:136,588,596,multi-hop
472,train:2wiki:109,7,2wiki:109,476,479,semantic
473,train:2wiki:173,7,2wiki:173,779,781,multi-hop
474,train:2wiki:22,4,2wiki:22,70,67,multi-hop
475,train:2wiki:148,4,2wiki:148,648,653,multi-hop
476,train:2wiki:145,8,2wiki:145,640,643,semantic
477,train:2wiki:143,9,2wiki:143,622,618,multi-hop
478,train:2wiki:165,7,2wiki:165,746,741,multi-hop
479,train:2wiki:182,8,2wiki:182,847,849,multi-hop
480,train:2wiki:178,8,2wiki:178,818,820,multi-hop
481,train:2wiki:109,8,2wiki:109,472,474,multi-hop
482,train:2wiki:101,6,2wiki:101,428,430,multi-hop
483,train:2wiki:193,6,2wiki:193,903,899,multi-hop
