q_idx,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
36,What is the oldest college in the state that contains Borough House Plantation?,College of Charles Towne | Charles Towne,236,13,13,13,Not mentioned in the context,"Based on the provided context, there is no mention of a college.",Not mentioned in the context.,0.0,0.0,0.0,0.0,0.2857,0.0
37,"Who is one of the members of the music group that performed ""Good Little Girls""?",Aaron Benward,226,13,13,13,Aaron Benward or Scott Reeves,Aaron Benward or Scott Reeves,Aaron Benward or Scott Reeves,0.0,0.0,0.0,0.5714,0.5714,0.5714
38,At what local time does the country where Fuser and Alberto meet the indigenous couple traveling to look for work change their clocks for DST?,24:00,221,13,13,13,Not mentioned in the context,Not mentioned in the context.,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
39,"In Grown Ups, who plays the wife of the actor who produced The Chosen One?",Joyce Van Patten,219,13,13,13,Salma Hayek and Maya Rudolph,"Salma Hayek, Maria Bello, and Maya Rudolph","Salma Hayek, Maria Bello, and Maya Rudolph",0.0,0.0,0.0,0.0,0.0,0.0
40,In which county was Zhu Qinan born?,Yongjia County,219,13,13,13,Wenzhou,"Wenzhou, Zhejiang",China,0.0,0.0,0.0,0.0,0.0,0.0
41,When did the party that controls the House of Representatives take control of the branch who determines the rules of the US house and Senate?,January 2015,234,13,13,13,January 2015,2014 elections,The 2014 elections,1.0,0.0,0.0,1.0,0.0,0.0
42,Who is the spouse of the person who plays Batman in the Lego Batman Movie?,Amy Poehler,214,13,13,13,Not provided in the context.,Not mentioned in the context.,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
43,Kiwil's birth country participated in a Commission of Truth and Friendship. Who is the president of the other country that participated?,Francisco Guterres,200,13,13,13,Xanana Gusmão,BJ Habibie,Not mentioned,0.0,0.0,0.0,0.0,0.0,0.0
44,When was the kingdom that Heptarchy was part of abolished?,918,208,13,13,13,*Not mentioned in the text*,Not mentioned in the context,Not provided in the context,0.0,0.0,0.0,0.0,0.0,0.0
45,How many times did the plague occur in the city where Flora's painter died?,22,230,13,13,13,Not mentioned in the context,The provided context does not contain information about Flora or her painter.,"Based on the provided context, there is no mention of Flora, her painter, or how many times the plague occurred in their city.",0.0,0.0,0.0,0.0,0.0,0.0
46,What series of wins did the sports team that the all time highest goal scorer in spain national team was a member or achieve in 2009?,continental treble,191,13,13,13,"Based on the provided context, there is no mention of a series of wins achieved in 2009 by the sports team of the Spain national team's all-time highest goalscorer (David Villa).",Not mentioned in the context.,Continental treble,0.0,0.0,1.0,0.0,0.0,1.0
47,Who is the spouse of the current queen of England?,Philip Mountbatten,204,13,13,13,Not mentioned in the context.,Not mentioned in the context,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
48,What is the source of the river that is the mouth of the Caledon River?,Thaba Putsoa,189,13,13,13,Orange River,Orange River,Drakensberg mountains,0.0,0.0,0.0,0.0,0.0,0.0
49,What is the symbol of the Saints from the headquarters location of Ten High's manufacturer called?,fleur - de-lis | Fleur-de-lis | fleur-de-lis,241,13,13,13,Third Street Saints,The context does not contain this information.,fleur-de-lis,0.0,0.0,1.0,0.0,0.0,1.0
50,What is the experimental satellite which was the forerunner to the communication satellite of the operator of GSAT-7 called?,ATS - 6 (Applications Technology Satellite - 6) | ATS-6,243,13,13,13,TDRSS,"Based on the provided context, there is no mention of an experimental satellite that served as a forerunner to GSAT-7 or its operator.","Based on the provided context, there is no mention of an ""experimental satellite which was the forerunner to the communication satellite of the operator of GSAT-7"".",0.0,0.0,0.0,0.0,0.0769,0.0741
51,When was the last time the team that Arthur James was a member of beat the 1894-95 FA cup winner?,1 December 2010,223,13,13,13,7 July 1895,8 May 2022,1–0 on 27 September 1879,0.0,0.0,0.0,0.0,0.0,0.0
52,What is the capital of the country it is about?,Aden,231,13,13,13,Georgetown,Georgetown,Georgetown,0.0,0.0,0.0,0.0,0.0,0.0
53,Who was the first black student admitted to where Robert Khayat was educated?,James Howard Meredith | James Meredith,246,13,13,13,"Based on the provided context, there is no mention of Robert Khayat.",*Context does not mention Robert Khayat*,*Not mentioned in context*,0.0,0.0,0.0,0.0,0.0,0.0
54,The author of Elizabeth and After attended which university?,University of Toronto | UT,227,13,13,13,Not provided in the context,University of Toronto,University of Toronto,0.0,1.0,1.0,0.0,1.0,1.0
55,Who followed Menucha Rochel Slonim's father?,Menachem Mendel Schneersohn,197,13,13,13,Rabbi Menachem Mendel Schneersohn,The context does not provide this information.,Not mentioned in the context,0.0,0.0,0.0,0.8571,0.0,0.0
56,When did the majority party in the House of Representatives gain control of the body which approves members of the Cabinet?,January 2015,234,13,13,13,Not mentioned in the context,Not mentioned in the context,Not mentioned in the context.,0.0,0.0,0.0,0.0,0.0,0.0
57,What is the seat of the county sharing a border with the county in which Miller Electric is headquartered?,Green Bay,143,13,13,13,Outagamie County,"Based on the provided context, there is no mention of counties, county seats, or borders sharing with Miller Electric's headquarters.","Based on the provided context, there is no mention of the seat of the county sharing a border with the county in which Miller Electric is headquartered.",0.0,0.0,0.0,0.0,0.0,0.0
58,What pantheon is the God of the underworld in ancient Egypt a part of?,ancient Egyptian religion,217,13,13,13,Not mentioned in the context.,Not mentioned in the context.,Not mentioned in context,0.0,0.0,0.0,0.0,0.0,0.0
59,When did military instruction start at the place where Larry Alcala was educated?,1912,222,13,13,13,1 October 1973,Not mentioned in the context.,Not mentioned in the context,0.0,0.0,0.0,0.0,0.0,0.0
