q_idx,config_k,question,gold_answers,pool_size,n_cosine_chunks,n_graph_chunks,n_adaptive_chunks,cosine_answer,graph_answer,adaptive_answer,cosine_em,graph_em,adaptive_em,cosine_f1,graph_f1,adaptive_f1
4,3,Which orders did Mufti-e-Azam-e-Hind receive Khilafat from?,"Mufti-e-Azam-e-Hind received Khilafat in the Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.",156,4,4,4,"Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.","Qaderi Silsila, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.","Qaderi Silsila, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.",0.0,0.0,0.0,0.7778,0.7368,0.7368
4,6,Which orders did Mufti-e-Azam-e-Hind receive Khilafat from?,"Mufti-e-Azam-e-Hind received Khilafat in the Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.",156,7,7,7,"Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.","Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.","Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.",0.0,0.0,0.0,0.7778,0.7778,0.7778
4,8,Which orders did Mufti-e-Azam-e-Hind receive Khilafat from?,"Mufti-e-Azam-e-Hind received Khilafat in the Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.",156,9,9,9,-e-Azam-e-Hind (radi Allahu anhu). He was lying on his bed and covered with a shawl. He was in great pain,"influence was so great that he was considered the ""Mujaddid"" of the entire Muslim world. His mother, Sayyiduna A'la Haz","Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.",0.0,0.0,0.0,0.1333,0.0,0.7778
4,12,Which orders did Mufti-e-Azam-e-Hind receive Khilafat from?,"Mufti-e-Azam-e-Hind received Khilafat in the Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.",156,13,13,13,-e-Azam-e-Hind (radi Allahu anhu). He was lying on his bed and covered with a shawl. He was in great pain,"influence was so great that he was considered the ""Mujaddid"" of the entire Muslim world. His mother, Sayyiduna A'la Haz","anhu).

Ghousul Waqt, Mufti-e-Azam-e-Hind (radi Allahu anhu) was a very blessed child",0.0,0.0,0.0,0.1333,0.0,0.0909
4,16,Which orders did Mufti-e-Azam-e-Hind receive Khilafat from?,"Mufti-e-Azam-e-Hind received Khilafat in the Qaderi, Chishti, Nakshbandi, Suharwardi, and Madaari Orders.",156,17,17,17,-e-Azam-e-Hind (radi Allahu anhu). He was lying on his bed and covered with a shawl. He was in great pain,"influence was so great that he was considered the ""Mujaddid"" of the entire Muslim world. His mother, Sayyiduna A'la Haz","anhu).

Ghousul Waqt, Mufti-e-Azam-e-Hind (radi Allahu anhu) was a very blessed child",0.0,0.0,0.0,0.1333,0.0,0.0909
5,3,How does the receptive field size affect the completion of shapes?,Bigger receptive field size leads to more successful shape completion.,94,4,4,4,Bigger receptive field size enables more complete shapes to be reconstructed.,Bigger receptive field size makes it easier to complete shapes with bigger gaps.,Larger receptive field size results in better completion of shapes.,0.0,0.0,0.0,0.5714,0.4348,0.4
5,6,How does the receptive field size affect the completion of shapes?,Bigger receptive field size leads to more successful shape completion.,94,7,7,7,Larger receptive field size enables more complete shapes to be reconstructed.,Bigger receptive field size makes it easier to complete shapes with bigger gaps.,Larger receptive field size can complete shapes with bigger gaps.,0.0,0.0,0.0,0.4762,0.4348,0.4
5,8,How does the receptive field size affect the completion of shapes?,Bigger receptive field size leads to more successful shape completion.,94,9,9,9,Larger receptive field size enables the model to complete shapes with bigger gaps.,Larger receptive field size enables the model to complete shapes with bigger gaps.,Larger receptive field size allows for better completion of shapes with bigger gaps.,0.0,0.0,0.0,0.4545,0.4545,0.4348
5,12,How does the receptive field size affect the completion of shapes?,Bigger receptive field size leads to more successful shape completion.,94,13,13,13,"the network, but the network is still able to predict where to fill in the missing regions. This is a challenging problem because the network is trying to predict where",Larger receptive field size enables the model to complete shapes with bigger gaps.,Larger receptive field size can complete shapes with bigger gaps.,0.0,0.0,0.0,0.0571,0.4545,0.4
5,16,How does the receptive field size affect the completion of shapes?,Bigger receptive field size leads to more successful shape completion.,94,17,17,17,"the network, but the network is still able to predict where to fill in the missing regions. This is a challenging problem because the network is trying to predict where","calculate overfit_score, we use the following formula: overfit_score = (x I - x gt )^2 / (x I + x gt )","the following code:
```python
import numpy as np
from PIL import Image
from tensorflow.keras.applications import ResNet50
from tensorflow.keras.applications",0.0,0.0,0.0,0.0571,0.0,0.0
6,3,What is the main methodology used in the research?,An unsupervised method based on the information bottleneck and contrastive learning.,128,4,4,4,"Experimental design

Answer the question using ONLY the context provided.","Explicit communication for coordination.

KEYWORDS:

* Explicit communication
* Coordination
* Abstract concepts
* Beliefs
* Theory of mind
* Message policy",Information Bottleneck.,0.0,0.0,0.0,0.0,0.0,0.3636
6,6,What is the main methodology used in the research?,An unsupervised method based on the information bottleneck and contrastive learning.,128,7,7,7,Analyzing the data using a combination of statistical methods and machine learning algorithms.,Emergent communication.,"Emergent communication, which studies the creation of artificial language to encode a high task-utility message directly from data.",0.0,0.0,0.0,0.2,0.0,0.0
6,8,What is the main methodology used in the research?,An unsupervised method based on the information bottleneck and contrastive learning.,128,9,9,9,Symbolic communication.,"Emergent communication, a type of explicit communication, is used to align heterogeneous agents, a social task that has not been previously studied.","Emergent communication, a type of explicit communication, to capture complex social communication scenarios in multi-agent reinforcement learning (MARL).",0.0,0.0,0.0,0.0,0.0,0.0769
6,12,What is the main methodology used in the research?,An unsupervised method based on the information bottleneck and contrastive learning.,128,13,13,13,Contrastive learning.,"Emergent communication, a type of explicit communication that aims to directly influence other agents with a learned subset of information, which allows for scalability and interpretability by new",The main methodology used in the research is unsupervised method based on the information bottleneck to capture both referential complexity and task-specific utility to adequately explore sparse social,0.0,0.0,0.0,0.3636,0.1143,0.4118
6,16,What is the main methodology used in the research?,An unsupervised method based on the information bottleneck and contrastive learning.,128,17,17,17,Contrastive learning.,"Compositional emergent communication, which enables independent properties among tokens with respect to referential information.","Social Learning in Multi-Agent Reinforcement Learning

Authors: [Your Names]

Journal: [Your Journal Name]

Year: [Year]

Volume: [Volume]",0.0,0.0,0.0,0.3636,0.087,0.0769
7,3,What are the three subsets into which the parameter space V is divided?,"The three subsets are V+, V0, and V-, determined by the Kullback-Leibler information distance.",51,4,4,4,"V + , V 0 , V − , where V + = {v ∈ V : P v (Z 1 > 0) > 0","V + , V 0 , V − .","V + , V 0 , V − , where V + = {v ∈ V : P v (Z 1 > 0) > 0",0.0,0.0,0.0,0.1429,0.2353,0.1429
7,6,What are the three subsets into which the parameter space V is divided?,"The three subsets are V+, V0, and V-, determined by the Kullback-Leibler information distance.",51,7,7,7,"V + , V 0 , V − .","V + , V 0 , V − .","V + , V 0 , and V − , where V + = {v ∈ V : P v is closer to P v 0 than to P",0.0,0.0,0.0,0.2353,0.2353,0.1765
7,8,What are the three subsets into which the parameter space V is divided?,"The three subsets are V+, V0, and V-, determined by the Kullback-Leibler information distance.",51,9,9,9,1) e −mb for m ≥ (a 0 + 1)(k−1). Since the expected value of T c (g) is,"V + , V 0 , V −

Question: What is the Kullback-Leibler information distance between P v and P v 0 ?","V + , V 0 , V − .",0.0,0.0,0.0,0.0,0.4,0.2353
7,12,What are the three subsets into which the parameter space V is divided?,"The three subsets are V+, V0, and V-, determined by the Kullback-Leibler information distance.",51,13,13,13,1) e −mb for m ≥ (a 0 + 1)(k−1). Since the expected value of T c (g) is,"for some θ * > 0. (IV) The function g(x) is decreasing, its second order derivative function g ′′ (x) is continuous","function, we have

H(θ * v ) = H(0) + cH ′ v (0) + c 2 H ′′ v",0.0,0.0,0.0,0.0,0.0,0.1481
7,16,What are the three subsets into which the parameter space V is divided?,"The three subsets are V+, V0, and V-, determined by the Kullback-Leibler information distance.",51,17,17,17,1) e −mb for m ≥ (a 0 + 1)(k−1). Since the expected value of T c (g) is,"for some θ * > 0. (IV) The function g(x) is decreasing, its second order derivative function g ′′ (x) is continuous","function, we have

H(θ * v ) = H(0) + cH ′ v (0) + c 2 H ′′ v",0.0,0.0,0.0,0.0,0.0,0.1481
8,3,What did Justice Kennedy argue about Quill in Direct Marketing Ass'n v. Brohl?,Quill harmed states more than anticipated due to the Internet.,87,4,4,4,"Justice Kennedy argued that the Internet has caused far-reaching systemic and structural changes in the economy, and therefore Quill now harms States to a degree far greater than could",Justice Kennedy argued that the physical presence test of Bellas Hess was no longer appropriate in light of the Internet.,Justice Kennedy argued that the physical presence test of Bellas Hess was no longer appropriate in light of the Internet.,0.0,0.0,0.0,0.2857,0.0741,0.0741
8,6,What did Justice Kennedy argue about Quill in Direct Marketing Ass'n v. Brohl?,Quill harmed states more than anticipated due to the Internet.,87,7,7,7,"Justice Kennedy argued that the Internet has caused far-reaching systemic and structural changes in the economy, and therefore Quill harms States to a degree far greater than could have","Justice Kennedy argued that the physical presence rule of Quill was wrong and that the Internet has caused far-reaching systemic and structural changes in the economy, making it harmful","Justice Kennedy argued that the Internet has caused far-reaching systemic and structural changes in the economy, and therefore Quill now harms States to a degree far greater than could",0.0,0.0,0.0,0.2857,0.1143,0.2857
8,8,What did Justice Kennedy argue about Quill in Direct Marketing Ass'n v. Brohl?,Quill harmed states more than anticipated due to the Internet.,87,9,9,9,"in the judgment). The majority opinion in Bellas Hess, 130 S. Ct. 1768 (2010), had

repealed the physical","curring in the judgment)). Wayfair argued that the Commerce Clause was not a dormant clause, but rather an active clause, and that the Court should not have over",” were “unpersuasive.”24× 24. Id. at 760. The South Dakota Supreme Court held that the South Dakota legislature’s decision,0.0,0.0,0.0,0.0,0.0,0.0
8,12,What did Justice Kennedy argue about Quill in Direct Marketing Ass'n v. Brohl?,Quill harmed states more than anticipated due to the Internet.,87,13,13,13,"in the judgment). The majority opinion in Bellas Hess, 130 S. Ct. 1768 (2010), had

repealed the physical","curring in the judgment)). Wayfair argued that the Commerce Clause was not a dormant clause, but rather an active clause, and that the Court should not have over",” were “unpersuasive.”24× 24. Id. at 760. The South Dakota Supreme Court held that the South Dakota legislature’s decision,0.0,0.0,0.0,0.0,0.0,0.0
8,16,What did Justice Kennedy argue about Quill in Direct Marketing Ass'n v. Brohl?,Quill harmed states more than anticipated due to the Internet.,87,17,17,17,"in the judgment). The majority opinion in Bellas Hess, 130 S. Ct. 1768 (2010), had

repealed the physical","curring in the judgment)). Wayfair argued that the Commerce Clause was not a dormant clause, but rather an active clause, and that the Court should not have over",” were “unpersuasive.”24× 24. Id. at 760. The South Dakota Supreme Court held that the South Dakota legislature’s decision,0.0,0.0,0.0,0.0,0.0,0.0
9,3,What are the three phases of the author's preaching process?,"The three phases are exegetical, theological, and homiletical.",154,4,4,4,"exegetical, theological, and homiletical.","exegetical, theological, and homiletical.","exegetical, theological, and homiletical.",0.0,0.0,0.0,0.7273,0.7273,0.7273
9,6,What are the three phases of the author's preaching process?,"The three phases are exegetical, theological, and homiletical.",154,7,7,7,"exegetical, theological, and homiletical.","exegetical, theological, and homiletical.","exegetical, theological, and homiletical.",0.0,0.0,0.0,0.7273,0.7273,0.7273
9,8,What are the three phases of the author's preaching process?,"The three phases are exegetical, theological, and homiletical.",154,9,9,9,"Exegetical, Theological, and Homiletical.","Exegetical, Theological, Homiletical.","exegetical, theological, and homiletical.",0.0,0.0,0.0,0.7273,0.6,0.7273
9,12,What are the three phases of the author's preaching process?,"The three phases are exegetical, theological, and homiletical.",154,13,13,13,"Exegetical, Theological, Homiletical.",: What is the main idea that ties everything together in the sermon?,"exegetical, theological, and homiletical.

Question: What is the first phase of the author's preaching process?
Answer: Exegetical.",0.0,0.0,0.0,0.6,0.0,0.3636
9,16,What are the three phases of the author's preaching process?,"The three phases are exegetical, theological, and homiletical.",154,17,17,17,"out, I turn to the theological phase. I want to know what the author is saying, what the author is trying to say, and what the author is",end of response//,"that’s a danger I’ll have to be careful of.

Theological phase is where I start to get into the big picture. I’m looking for the overall",0.0,0.0,0.0,0.129,0.0,0.0667
10,3,"What are the two ground states observed for indeno[1,2-a]fluorene on NaCl surfaces?",Open-shell π-diradical state and closed-shell state with a para-quinodimethane moiety.,99,4,4,4,open-shell π-diradical state and closed-shell state with a SOMO.,open-shell π-diradical state and closed-shell state with a SOMO.,open-shell π-diradical state and closedshell state with a para-quinodimethane moiety in the as-indacene core.,0.0,0.0,0.0,0.8235,0.8235,0.8571
10,6,"What are the two ground states observed for indeno[1,2-a]fluorene on NaCl surfaces?",Open-shell π-diradical state and closed-shell state with a para-quinodimethane moiety.,99,7,7,7,Open-shell π-diradical state and closed-shell state with a SOMO.,open-shell π-diradical state and closedshell state with a SOMO.,open-shell π-diradical state and closedshell state with a para-quinodimethane moiety in the as-indacene core.,0.0,0.0,0.0,0.8235,0.8235,0.8571
10,8,"What are the two ground states observed for indeno[1,2-a]fluorene on NaCl surfaces?",Open-shell π-diradical state and closed-shell state with a para-quinodimethane moiety.,99,9,9,9,Open-shell π-diradical state and closed-shell state with a SOMO.,"5OS on the surface of bilayer NaCl/Au(111), where the surface topography is shown in the top panel and the surface topography of",open-shell π-diradical state and closedshell state with a para-quinodimethane moiety in the as-indacene core.,0.0,0.0,0.0,0.8235,0.0741,0.8571
10,12,"What are the two ground states observed for indeno[1,2-a]fluorene on NaCl surfaces?",Open-shell π-diradical state and closed-shell state with a para-quinodimethane moiety.,99,13,13,13,NaCl/Au(111) and Cu(111). This result is consistent with the theoretical predictions of the open-shell electronic configuration of 5OS and the,"5OS on the surface of bilayer NaCl/Au(111), where the surface topography is shown in the top panel and the surface topography of","iso. g, Selected bonds labeled for highlighting bond order differences between 5iso and 5para. h, Selected bonds labeled for highlighting bond order differences between",0.0,0.0,0.0,0.2308,0.0741,0.0606
10,16,"What are the two ground states observed for indeno[1,2-a]fluorene on NaCl surfaces?",Open-shell π-diradical state and closed-shell state with a para-quinodimethane moiety.,99,17,17,17,NaCl/Au(111) and Cu(111). This result is consistent with the theoretical predictions of the open-shell electronic configuration of 5OS and the,"5OS on the surface of bilayer NaCl/Au(111), where the surface topography is shown in the top panel and the surface topography of","iso. g, Selected bonds labeled for highlighting bond order differences between 5iso and 5para. h, Selected bonds labeled for highlighting bond order differences between",0.0,0.0,0.0,0.2308,0.0741,0.0606
11,3,Who is responsible for carrying out the functions assigned under the act?,The Director of Town and Country Planning is responsible for carrying out the functions assigned under the act.,113,4,4,4,The State Government.,The State Government.,State Government.,0.0,0.0,0.0,0.0,0.0,0.0
11,6,Who is responsible for carrying out the functions assigned under the act?,The Director of Town and Country Planning is responsible for carrying out the functions assigned under the act.,113,7,7,7,The State Government.,The State Government.,The State Government.,0.0,0.0,0.0,0.0,0.0,0.0
11,8,Who is responsible for carrying out the functions assigned under the act?,The Director of Town and Country Planning is responsible for carrying out the functions assigned under the act.,113,9,9,9,The State Government.,The Director of Town and Country Planning.,The State Government.,0.0,0.0,0.0,0.0,0.5714,0.0
11,12,Who is responsible for carrying out the functions assigned under the act?,The Director of Town and Country Planning is responsible for carrying out the functions assigned under the act.,113,13,13,13,The State Government.,"published by the State Government;
(r) ""Director"" means the Director of Town and Country Planning;
(s) ""State Government"" means the State Government;
(t",for the planning area or any of its parts and such other area or areas contiguous or adjacent to the planning areas as the State Government may direct to be included in,0.0,0.0,0.0,0.0,0.3429,0.1818
11,16,Who is responsible for carrying out the functions assigned under the act?,The Director of Town and Country Planning is responsible for carrying out the functions assigned under the act.,113,17,17,17,"the defaulter.

(4) The State Government may, by notification, direct that the work of the local authority or any other authority shall be carried out","published by the State Government;
(r) ""Director"" means the Director of Town and Country Planning;
(s) ""State Government"" means the State Government;
(t",for the planning area or any of its parts and such other area or areas contiguous or adjacent to the planning areas as the State Government may direct to be included in,0.0,0.0,0.0,0.1111,0.3429,0.1818
12,3,对于PD3.0协议，FS312BH支持的最高诱骗电压是多少？,48V.,16,4,4,4,"C 的为 35W - 双 插 降 功 率 ， 三 档 功 率

回答：支持PD2.0",8611K-A（MCU），7550B-T配合工作 - 支持多种协议 - 支持I2C控制 - 任意单 C,0 PPS、QC4.0协议 - 支持Emarker模拟功能 - 封装：DFN2x2-6L - �,0.0,0.0,0.0,0.0,0.0,0.0
12,6,对于PD3.0协议，FS312BH支持的最高诱骗电压是多少？,48V.,16,7,7,7,"C 的为 35W - 双 插 降 功 率 ， 三 档 功 率

回答：支持PD2.0",8611K-A（MCU），7550B-T配合工作 - 支持多种协议 - 支持I2C控制 - 任意单 C,0 PPS、QC4.0协议 - 支持Emarker模拟功能 - 封装：DFN2x2-6L - �,0.0,0.0,0.0,0.0,0.0,0.0
12,8,对于PD3.0协议，FS312BH支持的最高诱骗电压是多少？,48V.,16,9,9,9,"C 的为 35W - 双 插 降 功 率 ， 三 档 功 率

回答：支持PD2.0",8611K-A（MCU），7550B-T配合工作 - 支持多种协议 - 支持I2C控制 - 任意单 C,0 PPS、QC4.0协议 - 支持Emarker模拟功能 - 封装：DFN2x2-6L - �,0.0,0.0,0.0,0.0,0.0,0.0
12,12,对于PD3.0协议，FS312BH支持的最高诱骗电压是多少？,48V.,16,13,13,13,"C 的为 35W - 双 插 降 功 率 ， 三 档 功 率

回答：支持PD2.0",8611K-A（MCU），7550B-T配合工作 - 支持多种协议 - 支持I2C控制 - 任意单 C,0 PPS、QC4.0协议 - 支持Emarker模拟功能 - 封装：DFN2x2-6L - �,0.0,0.0,0.0,0.0,0.0,0.0
12,16,对于PD3.0协议，FS312BH支持的最高诱骗电压是多少？,48V.,16,16,16,16,"C 的为 35W - 双 插 降 功 率 ， 三 档 功 率

回答：支持PD2.0",8611K-A（MCU），7550B-T配合工作 - 支持多种协议 - 支持I2C控制 - 任意单 C,0 PPS、QC4.0协议 - 支持Emarker模拟功能 - 封装：DFN2x2-6L - �,0.0,0.0,0.0,0.0,0.0,0.0
13,3,Who was Ralph Rokebye's brother?,Sir Richard.,44,4,4,4,John Roope.,"William Rokebye, of Thundercliffe Grange, Yorks.","William Rokebye, of Thundercliffe Grange, Yorks.",0.0,0.0,0.0,0.0,0.0,0.0
13,6,Who was Ralph Rokebye's brother?,Sir Richard.,44,7,7,7,John Rookes.,"of St. Alban's, co. Hereford, 1727-31, and rector of St. Alban's, co. Hereford,","matric. 15 Feb., 1666-7, aged 17; brother of John same date.

Rolle, John 2s. John",0.0,0.0,0.0,0.0,0.0,0.0
13,8,Who was Ralph Rokebye's brother?,Sir Richard.,44,9,9,9,"19; student of Lincoln's Inn 1582-3, 1585-6, 1587-8, 1589-90,","of St. Alban's, co. Hereford, 1727-31, and rector of St. Alban's, co. Hereford,","matric. 15 Feb., 1666-7, aged 17; brother of John same date.

Rolle, John 2s. John",0.0,0.0,0.0,0.0,0.0,0.0
13,12,Who was Ralph Rokebye's brother?,Sir Richard.,44,13,13,13,"19; student of Lincoln's Inn 1582-3, 1585-6, 1587-8, 1589-90,","of St. Alban's, co. Hereford, 1727-31, and rector of St. Alban's, co. Hereford,","matric. 15 Feb., 1666-7, aged 17; brother of John same date.

Rolle, John 2s. John",0.0,0.0,0.0,0.0,0.0,0.0
13,16,Who was Ralph Rokebye's brother?,Sir Richard.,44,17,17,17,"19; student of Lincoln's Inn 1582-3, 1585-6, 1587-8, 1589-90,","of St. Alban's, co. Hereford, 1727-31, and rector of St. Alban's, co. Hereford,","matric. 15 Feb., 1666-7, aged 17; brother of John same date.

Rolle, John 2s. John",0.0,0.0,0.0,0.0,0.0,0.0
14,3,What is the score achieved by the authors for Track-2?,85.61%.,55,4,4,4,"0.85

Note: The score achieved by the authors for Track-2 is 0.85, which is the highest score achieved by any of",The authors achieved a score of 0.8 for Track-2.,0.8.,0.0,0.0,0.0,0.0,0.0,0.0
14,6,What is the score achieved by the authors for Track-2?,85.61%.,55,7,7,7,85.61%,The authors achieved a validation F1 score of 0.8 for Track-2.,5.6% (margin of 5.6%),1.0,0.0,0.0,1.0,0.0,0.0
14,8,What is the score achieved by the authors for Track-2?,85.61%.,55,9,9,9,85.61%,5.6%,5.6% (margin of 5.6%),1.0,0.0,0.0,1.0,0.0,0.0
